claim,sorted_cord_uids
social distancing is the most effective measure of containing the spread of the new coronavirus.,"['8z6nmmyq', 'tgc7goco', 'btzrfs6g', '7l8lqi1e', 'b19pjjib', 'awr5ny1l', 'zqn6s0af', '3clh1zv6', 'rmbavm9i', '944gun8o', 'oqq92ke1', 'nserrspn', 'kn0njkqg', 'e16zv22h', 've1fgnyg', 'elmagpu4', 'gwh3vc9y', 'ron8oqrn', 'buddml6f', 'tprgwilv', 'svjajpp4', 'rvqkwhgy', '3aaw7toy', '93i0j7hn', 'fdvn0cbh', 'xds1t447', 'fqvrlrv0', 'ewgkqmh5', 's6229sbc', 'qarz4o2z', 'nyhn2cme', 'b4tvujv0', '0b6dsdct', 'ztojocjz', 'lnv8yi9l', 't70lnidk', 'whzf6rh3', 'vaexbkof', 'pra7gea7', 'col7n7tr', 'h9tgkboe', 'vz3v07oc', '2jkb4ktg', 'qtc4lrk6', 'yat5g2i9', 'pp2c7yxy', 'n1n4dmwd', 'h0e7fgjv', '1roqno6p', 'dr1ym2mb', 'pxzsntfg', '6a6njt3u', 'kfuk0lix', '8xsuyxcg', 'eyyuo052', 'srpgcy4b', '85chebix', '1mbztn72', 'wc6ih08a', '4x4ljwn8', 'f6f3qhsi', 'y2zcwcic', 'ereh4ub8', '7q45jz7z', 's74jgknw', '4sxsyr6k', 'zp4xc5ma', '16t5rs6j', '615sdkpr', 'yr16nlg3', 'qev9sryo', 'in3pyyue', 'hd5xv7zk', 'ba39kp8l', 'iso9s1mw', 'ts3ra09u', 'ivhqeu01', 'ytg7j1iz', '9dmzsvx5', 'axymuyev', 'p1jeiljo', 'tnw82hbm', 'vql2m5fs', 'vz3v07oc', 'vz3v07oc', 'vz3v07oc', 'vz3v07oc', 'vz3v07oc', 'vz3v07oc', 'eln0vkru', 'aiah8kkn', '3yi44xfe', 'dtb2nza1', 'cb5ebiiv', 'qruchc17', 'vz829rsy', '2yipfs8c', 'oya7q3j3', 'q49c71l1', 'baq47reg']"
Drugs for high blood pressure appear to make COVID-19 worse,"['ms6zrrnd', '617zol31', '5qlpmofl', 'lpjog6nt', 'jdsn8vej', 'p6sjymu3', 'c3mclbgp', 'gd6dd4qm', 'nx84h9gi', 'o1ewny43', 'eaqxifxu', '27rqlbst', '2ikathbz', '34hc3ulc', 'hk25tivi', 'cvvjgkmw', 'lfdeowsl', '7lyccvm5', 'sgxs4tuq', '66ifwtlp', 'fy8tyj9a', '50cuynhl', 'uc71uvz7', 'fdbx68i6', 'b8p4l0yp', 'b2rwel29', 'oh26oopr', 'fi8fgynm', 'ez6j7t3y', 'qca9sj1n', 'xvnxkcxq', 'k7ce1e1m', 'd7a1hf8s', 'hzzmbrc7', 'nhragpzn', 'xzx54drg', 'z2vs29zm', 'ru3f2s42', '0pcy1nuj', '45mb1flv', '99ak2cum', 'p97ice72', 'e437544m', 'inibtytf', 'oiwue2k5', '9ldhmnbh', 'e6ex75zk', 'm9d88do0', 'mijpq1s2', 'ud3x78u3', 'r5r9kgmk', 'pgqs97b5', 'leb7c7b0', '2n7fpzfz', '6ruudku9', 'kfqilab9', 'ygd5ppb4', 'r82376tr', 'zcri0lus', 'gj0hznak', 'bn16dp7j', 'qojwn4dj', 'px2o98cv', '7ro29qce', '1uwyrst6', '5m3r848s', 'ozx3n7cj', 'qrfx165d', '3kzzvyvv', 'yb29p9yw', '659lz92w', 'gb9cjqpo', 'uwk5xxar', 'grwyhs04', 'ubng2p5h', 'p5h752r6', '4hxzdmkx', 'rage0a5i', 'p24bqckz', 'v10pg7oe', '5ru616w1', 'leb7c7b0', 'leb7c7b0', 'leb7c7b0', 'leb7c7b0', 'leb7c7b0', 'leb7c7b0', 'leb7c7b0', 'leb7c7b0', 'leb7c7b0', 'leb7c7b0', 'leb7c7b0', 'mjf12qz9', '53p83avf', '4nlg26p5', 'upbz2lma', 'tlhdqbia', '83nai91m', 'wzfvqj6m', 'kqci0zkh']"
diabetes more than doubles your risk of dying from coronavirus.,"['z00m3hg5', '61xioybu', 'bcl6t1ru', '1n65t3gk', '8kx9j6lo', 'naqrrlcu', 'posnrpd7', '2r6ofsrb', 'w3i4h93b', '92rz2byz', 'm2l42lvl', '52ngnc7n', '4lused3z', '8re6k952', '5ps6pw6c', '4sy3t5x1', 'mhwfjuvi', 'f5scvnpf', 'ucm1em0s', 'wtov0a4f', 'q1ai1ilp', '4e4zsh8a', '4br9oth9', 'vfjuv9m7', 'l2ysm2ep', '67r1qmc9', 'xbfdk07m', 'krw68u2d', 'fevqi98b', 'osrc4t7x', '1xi976ss', '67j4gamu', '5v38pd6e', '1pwlctxb', 'z86xj2pd', '44ik4p7v', '3oem2svd', '9slsndnm', '43fuh63u', 'rdbgej0g', 'b2jyct5c', '0ig32f8k', 'ulmm28d5', 'v2wxngwh', '5m4ybd1v', 'fr6kvil3', 'f5n1xyyt', 'l5ioyhur', 'skknfc6h', 'hr5m2r4u', '5u2xgq8a', 'r8zuno3m', '5o1jzwjq', 'xzbooifg', '0oi7y8vu', 'hnxv6az1', 'jnp2ldcj', 'jiisak9a', '82x0p9j4', '1qhferax', '269kzfd7', '0wfsr4iw', 'fr1w955e', '4or1q93z', 'metnu19r', 'f4qljghz', 'nakss8ag', '4fqsx5y5', 'g4puurhk', 'xpxov8yj', '8z6qs443', 'i8uwia3a', '67uhz1jv', 'd2ctre8e', 'p3qsn8di', 'thyi3cbk', 'j6y806qu', '55osk2g6', 'gtp01rna', 'e27pr6sz', '34twxhx3', 'snuprsrz', 'aer5uyo7', '1ul8owic', '9slsndnm', '9slsndnm', '9slsndnm', '9slsndnm', '9slsndnm', '9slsndnm', '9slsndnm', '11r3dnse', 'k7a98s4e', 'zzl8t9o9', 'rhojc8hx', 'g8ecdg4t', 'd3l1sbeb', '1jztwge9', '7j7u4sv3', '90q4py0j']"
number of deaths by covid-19 can be reduced if the population wear face masks in public,"['ygvg9jfe', 'fpps1ux6', '8bieqp3y', 'ropgq7tr', '9kzu8xwj', 'cukhr8zk', '32lau54s', '7k3fd6js', '4mxt8vm2', '9v4ohvvq', '1nobazeo', 'o71haprj', 'b4znk2wr', '9shnr4ph', 'x9sfgtim', '77tww0a8', 'efarquxn', 'fv8k5ckw', 'zv4jnvy1', 'ay9x197i', 'vmsq5hhz', 'ntfa1tcs', 'jkoegawm', 'quds09t4', '02pjdufw', 'jd4ym0u7', 'hl956i02', 'oshnjs1v', 'r54nk0n1', 'lyob5wfv', 'aidtsyo1', 'bhnh2dq4', 'x938errh', 'iu1d9i57', 'f74q6nwj', 'cmqj8get', '9b6cepf4', '5nnlyavp', 'x51jorbm', '4ng44jk8', 'oyxkzzs8', 'nt378esz', 'h2hhn9es', '92ipp5ge', 'yz5u08r7', 'w2c01295', '3idpta01', '20phdc4u', '0en2sl3q', 'ev9p2apu', '3ttcfhm3', 'qbmdub4s', 'w4q75grn', 'bdh9ctpa', '28a85p50', 'hiierdmt', '3145se46', 'umvrwgaw', 'f7rcijh4', 'dzc3lwza', 'iha9gjt4', 'g44xo465', 'jjwz5jrr', '5ct1mujm', '1w0dd54t', 'qzb8a22l', '7ky38p3w', 'h2ahzau7', 'vc2eheb6', 'zt6k3vjb', 'bsagyebg', 'll2pnl81', '047asp3a', 'u2hn3kyi', 'q6lu9y3z', '6luq4fbb', 'ngsstnpr', 'zqi60g0x', '02lsd9p6', '2grp23fi', '04mof6ap', 'ya0xdsle', '22v6maog', '43gmzqa6', '9lw1gb3q', 'm6qe57he', 'ilfqa7ct', '4kgyqn5d', 'g2uywktg', 'livrnr1f', '7lnak7mi', 'ndy59p5p', 'eru2c5bw', 'ycduncjb', '92tvskxw', '17tu6oxp', 'b232ra0j', '5wsj003j', 'mdewdbqs', 'sbsg39ix']"
remdesivir is highly effective at fighting the novel coronavirus in isolated cells,"['i9bn2n7t', 'lrz6bk02', 'pxsmv962', '13l2cbg1', 'ui4f8o8w', '31y378jx', 'aosmo568', '4vfk99f5', 'huxfagtg', 'z6sx8csb', 'b27xeyy3', 'i6w7pb4k', 'pdc3bv33', '32azjzu5', 'zdb0xjic', 'nk4zj3aa', 'uc3slu8q', 'v6u7ottq', 'ui4f8o8w', 'ui4f8o8w', 'ui4f8o8w', 'ui4f8o8w', 'ui4f8o8w', 'ui4f8o8w', 'ui4f8o8w', 'ui4f8o8w', 'ui4f8o8w', 'ui4f8o8w', 'ui4f8o8w', 'ui4f8o8w', 'ui4f8o8w', 'ui4f8o8w', 'ui4f8o8w', 'bsobuwl2', 'kcygxo7h', 'wmfcwqfw', 'r6y70to9', 'zpib1us1', 'lbnfqv77', '8b5t9v32', '5d5authn', 'oxybanjl', '1m5h3krw', '5at1euqm', 'ngxy58tg', 'zb434ve3', 'unwehrr5', '93jdbkpr', 'jv5wyup8', '5sqyb8pm', '4od9gu6y', 'ibolqr6z', 'ejoufvvj', 'kq77whdx', 'v3548bfn', 'iwu5pmtk', 'm8vg8hga', 'aavoq7q7', '9p9ld4ur', 'y5tts376', '5lwnao2j', 'x89iy0m2', 'intwv8g4', 'j6mx4797', 'zk1fyi2w', 'o6al938h', 't78yovrp', 'glfxrla9', '0ytn9zth', 'bzeqs5oh', 'qsd49pvm', 'gprvoecp', 'fe8a2bnc', 'vpbdtnyl', 'suzxni9g', 'bq7hemvr', 'q4m4q6p0', 'p5yc80u7', 'sdr7dkbg', 'ui8apeiv', 'vzyrcmu4', '8n4cnfiw', 'rudsvyqd', 'leduu22a', '2jei05lk', '303b23dd', 'p6uliadr', 'neq2vqym', '2iwsx727', '0dcfxzu8', 'gay3frll', 'vys68qd3', 'rn3bjc9d', 'z63jqr14', '0os0if1t', 'mp3qb33p', '0rn439n7', 'kzyxzlrm', 'bpou9p89', 'iil8bzrm']"
Masks prevent the spread of COVID-19,"['5atqn157', '08vsaov7', 'gegboxgs', 'y0gq9kgk', 'k5nn7p39', 'ropgq7tr', 'xmhgzuob', 'iynumlk0', 'mnjy6bq2', '0lxzrk8l', 'xef6fr39', 'oufm4msx', '8zpiecqm', 'jq2em42q', 'feen4e8w', 'fpps1ux6', 'gey0nidn', 'mqtw9x3i', 'h2ahzau7', 'u6y2lqq0', 'fqvrlrv0', 'ys7azmv7', '7gnhsvb5', 'ax8qn0ci', '4fun73ne', 'itm0bldp', 'j9j89jgm', '7c6h17f2', 'ik19jwjs', 'prnthp2j', 'h1ywhuwh', '68wbeol7', 'b4znk2wr', 'x9sfgtim', 'sbi3foi8', 'djpwtaow', 'lze9ayo2', '4673gpit', '98jrmvy5', 'n0mz098o', 'arddaitd', 'l61txxtm', 'th2edwh4', '9b6cepf4', 'w90980xq', 'scydncr9', '9h9u0ylr', 'we9oekt4', 'l38uyt67', 'arvdj4qn', 'wimsktta', '2rtptchp', 'sb65piot', 'gsuoakuy', 'w4q75grn', '1rvlqdsr', '6n5co4cu', 'umvrwgaw', 'p1jeiljo', '9w886vck', '9j9srco0', 'l89pq1za', '99e4ewnq', 'jchywh94', 'm6cxelu5', 'tt8md61t', 'cynmgzh7', 'g12i1jig', 'bwzbq7ay', '5vujmm2i', 'yg5posts', 'fkwskhfk', 'x5xub3y5', '3wyebaxb', 'c5gsrviv', 'o5c4bj92', '3y0xi5w9', 've34oyz0', '9ufwwz8u', '3y8gc1eh', 'qftsizis', 'vagd9i6q', 'bw4yzr5k', 'l0g04qgr', 'p6cesrdb', '9zy7xqig', '1loqavom', 'tkfbx9kz', 'xt6iclc8', 'm6eal7lu', 'udg3lsv1', 'l9bnmtxu', 'h1cap8lx', '13lqwj72', '2ua7dzjk', '7y4jv95l', '3ttcfhm3', 'fri9zun5', 'izw202m5', '5870ac2q']"
warmer weather slow coronavirus,"['3vqsgfqv', '0p480zhb', 'w3i4h93b', '0ixfwf4m', 'jc0s6q2c', 'n1nh1fhu', 'vxddnf0j', '36zatnjt', 'g4dc0dxs', 'ysroq72w', 'thjha7w1', 'axukblns', 'oe8z49c0', 'vzk6qaq1', 'r9scxa76', '9cvvb5a5', '04rbtmmi', 'tyhtdawb', '4br9oth9', 'gu1xmxsz', '7vwjcp53', 'gt6g5g2x', '1pujz3em', 'jdfwchpo', 'ro9fcngt', 'vav27bmc', 'zej99y5x', '5m3r848s', '5iwgebvp', 'kxbhlcce', 'mw1tjo3d', '9svrz0vj', '4smmt4u8', 'sw1hki4r', 'ziujiigl', 'kpz0o1ag', 'lv8dvdp7', 'psnd57cp', '2otax3zq', 'xhdqe7hh', '5m4lppi4', '6f0l6c0e', '0c412wq5', 'ttfmm946', '6cz0opsf', '6zu44fn2', '8aflwee2', 'p7ytwhuw', 'v8nifzwn', 'aiwxlxzt', '5jkql18w', 'h8wm9twa', '0oma7hdu', 'lu9mum1d', 'ihxyxd5u', 'vc2eheb6', '0vlzwksu', 'lnqh41ri', '34ekacrw', '1k6oegu4', '9106nhyw', 'u82bwjuz', 'cb5ebiiv', 'gmlbbw9u', '5xrbfdoj', '2p9j4ksy', '41d7343o', 'a1m11gx9', '60509txd', 'd56mj864', 'tx7en3rg', 'cw37jrt2', 'gb224lb7', 'og3myz22', 'zw4issg5', 'yqk1lxj8', 'm06qv8a6', 'iviy6i2r', '1vzg3swt', 'lxjhz079', 'v0trjjni', 'a7yq1zu0', 'dy3eeolz', 'p5g2y0ea', 'hsee3z26', 'mv6br046', 'o2lr936b', '6hpt1763', '8eitzlpf', 'fy90oebs', 'f53i4n02', 'y4kfzfdt', 'sio6jobt', '60qmiwjm', '41h59d0g', 'h5ufxzv9', 'trf6zyd1', '16t5rs6j', '0jm73t0s', '3svnvozz']"
"The use of ACE inhibitors was associated with an almost 40% lower risk of COVID-19 hospitalization for the older, Medicare Advantage patients - but there was no significant difference in risk for the younger, commercially insured patients.","['66z5n3iy', 'xyjomi4i', '5nit5hpc', '54ort1ih', 'w04ule30', '2umbelhd', '8qp99byy', 'bqa2gzzf', 'a9pvugjt', '48rn9o20', 'ryr8imai', '6897u1on', 'lbp6fquk', 'dafyl6vp', '70b1l83e', 'octqbmmc', '92qginzk', 'yfr1ycvn', '7qdjea6f', 'xuo2jrfq', 'm1n6lcxh', '26r8l6fr', 'xoqp27u0', 'a4mtee9e', 'tlrt17m4', 'cnwgzw4b', '4obggisp', 'i5u0hm1z', 'xf39pfa9', 'hen2wwrt', 'za3qypgg', 'k7zv6ugc', 'jct3d7uz', '0ta9aph1', '8w7mknxs', 'ulbgmn2o', 'zyr8siws', 'bbupvms3', '2i8ecm2x', 'nud6p869', 'uf32cq68', '1ixyv7h5', '1cx0xez5', '7hlw2j2a', '7ftu9b9q', 'y4l72mxx', 'ne05w573', '46ygec7s', 'qfw1uqvp', 'nakg801l', 'dmiplvt2', 'c74f69qh', 'x4ej7qpq', 'jr1mbh7s', 'ci8ecb0k', 'ph8jntql', '5734p4b7', '6lzdqph8', '93hgg2py', '7ntfgqhk', 'jiyq0wlt', 'e3bxs377', 'cebw7a40', 'hrq3nsit', 'n0uwy77g', 'lgooshqg', 'l3gdikyi', '66ldazlb', 'mhrl2grw', '6nrjpwh5', 'fdjjl1h7', 'paza6v7h', '5auy4a8y', 'lboa7rtn', 'd6nwum75', 'x4hwygcr', 'ml1tpzs4', 'd8n4rpod', 'c2kqqci5', 'jbom8iq6', '5hqcucue', '45uzm2bx', 'vsgviu8z', '8190lce1', '6baw4hmt', 'c333evls', '0r580il2', '3jezc081', '53o74jg7', '10l12wgu', 'yfdtqkij', 'z2jdiee1', 'ovcpads7', 'rdr13in0', '5fbcjhqj', 'cii8f6ig', 'rj62polb', '74i2i881', 'ren0qcz4', 'z82u8dik']"
no clinical evidence on vitamin D in COVID-19,"['qjctl8v9', 'o2pu77bk', 'dbjpw9vg', '73c66c6h', 'pp7w0ikh', 'ai1frcva', 'rgh1r8qt', 's26ehas6', 'rssq2v7k', 'divulh6a', 'y9wuszu5', '82myb5ao', '86h5ptxm', 'wv02dnwu', 'ix7q2nxn', 'q5ldo30t', 'sgbwrvuf', 'vpodtbjk', '99dqw94l', 'gn8h9bi9', 'phv4oymq', '0kj85fym', 'cudwhhvd', 'qsg18lbc', 'niic9dnr', 'bujydnde', 'wubjferh', 'y5bf2h0u', '1yknhf74', '2jj0z2lv', 'xuo2jrfq', '8vnj3jsv', 'z3teb4al', 'wzxorv0a', 'rtkb45lx', '86j5nx7c', 'sghr4ma7', 'i3f24wut', 'npnve8iq', 'wfz010d5', '58va9ae8', '79cgct71', '968tbqo4', 'hh4vqo57', '1x9vqepb', '86o2iard', 'r13sjgvq', 'mvq6353a', 'c93llz8x', 'aqh90wmk', 'icjt8bbw', '68uimhq6', '35rq2kio', 'fwufmk2h', 'uxl8liil', '6vrm6xk0', 'tw6f5h2q', 'lyorqurb', 'cfztliqj', 'cvw6e832', '2prrjqvj', 'yqo5yarc', 'wmdcxmq2', '1h7k7m50', 'n6gflj6i', 'lo6u1buy', 'ke1l83wc', 'os7ijqtr', 'dueignot', 'p1um6rn8', 'dl2irtdy', 'tiyl6buu', 'fb1zgn7e', 'evodle3x', 'egntml7e', '5nr475uc', 'pdr9tn9j', '5342lyeu', 'tujwrpkr', '6u3kepat', 'v8hzfc36', 'cfztliqj', 'cfztliqj', 'cfztliqj', 'cfztliqj', 'cfztliqj', 'cfztliqj', 'wyhakgmu', '2ov173rp', 'cfztliqj', 'cfztliqj', 'cfztliqj', 'cfztliqj', 'cfztliqj', 'cfztliqj', 'cfztliqj', 'cfztliqj', 'cfztliqj', 'cfztliqj', 'cfztliqj']"
"only 6% of deaths have COVID-19 as the only cause mentioned, revealing that 94% of patients who died from coronavirus also had other health conditions and contributing causes.","['wmm8ey22', 'igrmfj0j', 'gy5xmxx6', 'tg8kfiot', 'lrmrxbgm', 'r7dhq7tl', 'maaci3e7', '4cipqqwa', 'yswlt555', '8rxjju0t', 'ldy04lj1', 'ygd5ppb4', 'f7cy5oad', 'k9qiwy1b', '85zdl04b', 'ldwb05xn', 'rhoo2k3r', 'p5qbgi96', 'uza4orb8', 'ep4r9nno', 'eas75gr6', 'xyuj1j57', '9ox72now', 'pec5ezyy', '5nemz6um', 'jcu3pasy', '0b0fvnhn', '7etauol9', 'w8wyzsn0', '0iqtlfss', 'gaaum467', 'oz0t12xu', 'bcew2pg9', 'w8bpzb8q', 'ngwrfhbl', '3wg6flz0', '9u4q7c7z', 'lsmwjk7t', '6g5t0z8g', '8dvlz6ix', 'oxcctkl9', 'd599uera', '7rmgysjl', 'z86hc4zy', 'up81jotp', 'ql30rv83', 'yzr7ifbj', '5oohtaj1', 'y8uylqv3', 'gsqzmuj5', '11hi1jel', 'uhrvwfyj', '88fv2ea4', '2jttlljm', 'i924o2la', '50ucr7cz', 'vjgmie2p', '2977zk38', 'panxau5k', '8x2h70jn', 'z5vcgqxd', 'p1frnav5', 'mo0bhc4s', 'fs2xox7j', 's4gfbsqy', 'sqsxj62a', 'fnv2moum', 'svmxxv7x', '3pdqrunw', 'xmg9tnda', 'h866ozqu', 'io2f52kn', 'nbb5qrc8', 'mzyxcxh2', 'hkry89ck', 'fm4sfr89', 'tsb6gul8', 'igohmd37', 'h93g5hvf', '8iymevqm', 'ug7v899j', 'yg1mma87', 'md9om47x', 'qxluekyl', 'b23301ac', 'j3dxk0lg', '6klukoi9', 'hcd34m7b', 'b1xabkzk', 'k3wkb1gn', 'aaz0kb5i', '5r8a0lo9', 'kglk5vzt', 'twm32weg', 'jyvj3mo2', 'p2eh77es', 'd7qx3vk6', 'dte78dra', 'vcqqssm8', 'mgsuwft0']"
"COVID-19 disease, caused by infection with SARS-CoV-2, is related to a series of physiopathological mechanisms that mobilize a wide variety of biomolecules, mainly immunological in nature. ","['ftkrd1tj', '42ywl8gp', '4y6gn7pp', '0rpp0noa', 'a6etw4jo', 'usknmlqg', '2s1io2fg', '5obrmgna', 'e8sppjfz', 'nwxey92i', 'zmjmlc2a', 'o7r7a56v', 'bqs8vg1r', '8q5ondtn', 'cin2qol8', 'te4doxfu', 'ca82o6do', 'k2kys9dc', '8plkh5g8', 'qqeaqi1t', '2h4naqya', 'rt09lttr', '23lj17z4', 'yd2p1buu', 'eskefcwk', 's5z26qbb', 'w4yvw5w4', 'isle07xz', 'qnntyqud', 'w084jqt4', 'f679uxir', '4i2ssdp3', 'ye6l40uk', '700ykqeh', 'dp2xzul1', 'dd7wbn15', 'nalu9e66', 'y9i4hsy8', '12y420k8', 'w1ulwscj', 'obhm5mc5', 'tcuaizl3', 'xd3zxx0c', 'ragy7afs', 'zmp0dpv0', 'ejv2xln0', 'yfh5d4io', 'h8sktgo6', 'd6z9avfr', 'b7c6j56a', 'epclttm1', 'waf4n6u8', '45edcrv6', '3wg6flz0', 'm6abyuvx', '5rjw6ns5', '1e1qku72', 'k6ef33p2', 'h7nxl7oo', '18j48llk', 'wcn6o3fd', '13vnd9lo', '3a2oxns2', '0t5x8d17', 'e0tcmzl2', 'rrazeehl', 'zet4zla7', 'kapv6sye', '8iyynbup', '04vaizel', 'yn8nzezq', '6iuqv71f', 'zxmroaaw', '7ujxscss', 'rmc6otlc', 'hy982ia8', 'xa2ch8u5', '2nrx9enw', '946qlhuc', '4ntgq7su', 'updjkr8w', '5ka9909n', 'b8ce35l4', 'edu1zuzt', 'ulb3vy01', 'ojop6i4k', 'dptb12vz', 'awudwd00', 'd5xv2xdr', 'fe2sacjj', '2h8i4pyb', 'pv55re2x', 'w5u5afbr', '1tu8fnpx', 'agmfh8h9', '14do9vp0', '0vg5c065', '2p64ab2z', '6n2i9fyd', '9mnah05i']"
wearing a face mask do not stopped person-to-person spread of the virus.,"['hf6axnuh', 's3wbsllu', '0hki5u13', '67pt510d', '7zdi0y2s', '8bieqp3y', '7myp73qk', '8sjq1s1j', 'z8wlr3l7', 'fpps1ux6', 'o6a4kmmh', '3xfr83mz', 'zun6tp2o', 'tolnp13s', 'p46slvka', 'cukhr8zk', 'ropgq7tr', 'gocycb7u', '498dsj82', 'upmqc7oy', 'kah1jhqv', 'vcxfcdjk', '9ezhwvv9', 'dpa6yjao', 'gbvyuem5', 'ybjnep46', 'ohj8qxx4', '77tww0a8', 'n6vi7yhn', 'x4qdiln9', 'v72r7wur', 'wk61uyrt', 'rh873oik', '4mxt8vm2', '1nobazeo', 'rf25s2lh', '8xtwmdd8', '397m2zpp', 'yh6dkzb5', 'ztd74lnk', 'o71haprj', '9fuiind8', '6yu02snn', 'mnjy6bq2', 'b4znk2wr', 'zwb1mn7c', 'x9sfgtim', 'q76jxc3p', 'zv4jnvy1', 'iynumlk0', 'n0emewpt', 'bwghyhqx', 'ian35wkd', '8pa01t59', 'qi1henyy', 'av1ev8ta', 'u01rztok', 'h8f85qx5', 'hxdwodoq', 'ealibraq', 'lyob5wfv', 'hq92rmii', 'bh96u79b', 'hwjds6uf', '18xf7a4f', 'xwj6woxm', 'zv4jnvy1', 'zv4jnvy1', 'zv4jnvy1', 'zv4jnvy1', 'zv4jnvy1', 'zv4jnvy1', 'zv4jnvy1', 'zv4jnvy1', 'zv4jnvy1', '40gwkm12', 'lwt83ts2', 'j9x75gx0', '8pra3qay', 'zwnthdrs', 'w2c01295', '4fun73ne', '42qd8r99', 'ewvqu4qo', 'ocb8wbhc', 've34oyz0', 'bbc07wq0', 'yat5g2i9', 'g521vbth', 'hiierdmt', 'mfb2or98', 'zv4jnvy1', 'zv4jnvy1', 'zv4jnvy1', 'zv4jnvy1', 'zv4jnvy1', 'zv4jnvy1', 'zv4jnvy1', 'zv4jnvy1', 'todrdmvi']"
coronavirus may originated in a lab,"['2j56et4p', 'a8h7irel', 'ytf6svyv', 'j7tck21h', '7xrrfk1g', 'yclzl744', 'dd1iyzhg', '1nvifmaj', 'innbs6bs', 'kh9g433e', 'zwvesrct', 'qmkrn7pr', 'dcihyqhs', 'bbzpyuzo', 'e4evhd13', 'so12fui0', '9dckc1yb', 'q1ixys6v', 'r6ga7rlc', 'pjeddlgs', '6zie2yfn', 'k2qj6o7j', '2wof34vi', 'vs136pir', 'sc25la8c', '0hsiu0g8', '29ek8x34', '6ez0u7iq', '9jz95zkq', 'hf11qpsk', 'koi8cjov', 'e1zhpksc', 'nsdsgcmf', 'x9nt5d09', 'farxuynj', '38rsfs0d', 'o52kluvi', 'qed8hayx', 'iavwkdpr', 'nkbmd3qo', '8go3wflu', 'dxqqy8mw', '8urgxg0c', '3n3yjxx0', '9z8kdpp1', 'vz98i5u3', 'cbqboxt2', '9t7v7ipt', 'b0se0sky', 'mrnid1i2', 'lhwkthzx', '4krh89av', 'b5kj0iu1', 'adlosho0', 'm7nij17v', 'izltn367', '913cylpi', 'sphe2ely', '2mamwrfq', 'ipeup5mp', 'qbu13jgc', '7he8entt', 'xmy4vp1p', 's5f1olt4', 'z7alrc7s', 'ebr8jy1e', 's4t1pa76', 'cjrji0ev', 'p9tx2oer', '3ed7g5m5', 'm2cu5iof', 'c1qqbhl8', 'iz9z4r36', 'od97az43', 'lhr48ioz', 'lrlkhr61', 'kntb97k4', 'mrdyzgn2', 'migs9rxb', 'i21rpzp4', 'nam9jp3c', 'bo956ihn', '4omocd8q', '4p7lqpag', '4kpkhz0o', 'dnge0r72', 'tu1vevx9', 'g55d5ijx', 'vms1beyd', 'ibhd4dsa', 'wjm11xzr', '4ay3hsi7', 'nivrrsqg', 'mjyj6cfi', 'c8gvrfd7', '66hhozo2', 'xv7fun4g', 'y5n7zsct', '7qatfxoj', 'dlpgq0rm']"
Children are not COVID-19 super spreaders,"['l55mx4lp', 'ena1usqv', 'ml0trb70', 'pyz1rdap', 't7kjh9yr', 'o7jz60pk', 'eg09054j', 'nt2qtxo3', 'r7ym74nq', 'dai0pjm6', 'dkeo6nkw', 'vf7aeocg', 'aaewccao', '8xv1bawm', 'xqlngxuo', 'soxrbtr7', '863m07vh', 'yf3a8onu', '247fspnb', '5g5wid0k', '8ta7o7fe', 'f9cgt2z3', 'dmurklzi', 'rt9xvfwy', 'tkbctdyj', '0ifsyct7', 'v21jykpp', 'sud7iwh4', 'u6y69q3q', '4gdehn6v', '3z75n6uu', 'h04lnb8y', '163o0g61', 'k1i7svur', 'df44guu7', 'hbdh93ro', 'kqjdfwom', '7ru6tapp', 'c8x1o9r9', 'qekn90vv', 'rt0g0ufe', 'i3nz5bvs', 'wq4cgqs2', 'sdxsdhv2', 't5fpm082', 'c7msqrd4', '9vx482kb', 'm6qurano', '7jnufpiy', 'gjcd7sht', 'j09ccd46', 'y6ssshea', 'a3lk2q02', '50ob60mi', 'ie0lsot0', 'b6iyk514', 's08zwysm', '3ya4tnh9', 'ktjdzrqu', '4nv1kedt', '6ja5o3sa', 'wjbh1z8y', '9393ra9z', '962kva7g', 'phmvqhsm', 'j64ydee4', 'j5jsh35k', 'n445x9jk', 'jjdr14fe', '394850ys', '2ab7wdsk', '8v4ouchv', 'fg0lcl64', 'h13cxuh3', 'dfy8v5y8', '5zb47od0', 'w3j31lzp', 'zzrhcjw7', 'mgvdaea7', 'ft7looj4', 'gpbv6xxi', 'dinekziq', 'i2338h5r', '2o3agh35', 'zp2u7e03', 'kkgbb6zf', 'p7lzp0kt', '7bf53y6s', 'kfphnvn8', 'h3cjylcl', '998lscmk', 'og2vsq7f', 'x9veckdi', '17a70tu9', 'olim73m8', '03vy3uaj', 'a8us3r6c', '78v9wt0z', 'gztsz2vp', '3i466i1y']"
